scenario,degrade,trial,pass,min_clearance,collisions,stop_entries,travel_m,states,failures,run_dir
social_box_diag,-,2,PASS,0.2428,0,1,7.315,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_box_diag_2_1785838320
social_box_diag,-,3,PASS,0.3152,0,1,7.303,SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_box_diag_3_1785838511
social_box_diag,-,4,PASS,0.2482,0,2,7.669,SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_box_diag_4_1785838702
social_box_diag,-,5,PASS,0.3209,0,1,7.662,SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_box_diag_5_1785838892
social_offset_ped,-,1,PASS,0.3140,0,0,12.656,,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_offset_ped_1_1785839084
social_offset_ped,-,2,PASS,0.3080,0,0,12.609,,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_offset_ped_2_1785839259
social_offset_ped,-,3,PASS,0.3464,0,0,12.659,,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_offset_ped_3_1785839434
social_offset_ped,-,4,PASS,0.2229,0,0,12.685,,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_offset_ped_4_1785839608
social_offset_ped,-,5,PASS,0.3986,0,0,12.623,,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_offset_ped_5_1785839783
social_two_peds,-,1,PASS,0.2712,0,0,12.441,,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_two_peds_1_1785839958
social_two_peds,-,2,PASS,0.2728,0,0,12.268,,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_two_peds_2_1785840133
social_two_peds,-,3,PASS,0.2577,0,0,11.936,,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_two_peds_3_1785840307
social_two_peds,-,4,PASS,0.2541,0,0,12.272,,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_two_peds_4_1785840482
social_two_peds,-,5,PASS,0.2092,0,0,12.495,,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_two_peds_5_1785840657
social_yield,-,1,PASS,0.2072,0,1,8.277,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_yield_1_1785840831
social_yield,-,2,FAIL,0.0482,0,1,8.229,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,min_clearance 0.048 <= 0.1,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_yield_2_1785841063
social_yield,-,3,PASS,0.2343,0,1,8.040,YIELD_MOVE/YIELD_WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/social_yield_3_1785841294
